PassengerId,Survived,Pclass,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Others,Classe_Idade,Family,Classe_Fare
1,0,3,1,0,0,1,0,0,1,0,0,2,1,3
2,1,1,0,1,0,0,0,0,0,1,0,2,1,1
3,1,3,0,0,0,1,0,1,0,0,0,2,0,3
4,1,1,0,0,0,1,0,0,0,1,0,2,1,2
5,0,3,1,0,0,1,0,0,1,0,0,2,0,3
6,0,3,1,0,1,0,0,0,1,0,0,2,0,3
7,0,1,1,0,0,1,0,0,1,0,0,2,0,2
8,0,3,1,0,0,1,1,0,0,0,0,1,4,2
9,1,3,0,0,0,1,0,0,0,1,0,2,2,3
10,1,2,0,1,0,0,0,0,0,1,0,1,1,2
11,1,3,0,0,0,1,0,1,0,0,0,1,2,3
12,1,1,0,0,0,1,0,1,0,0,0,3,0,2
13,0,3,1,0,0,1,0,0,1,0,0,2,0,3
14,0,3,1,0,0,1,0,0,1,0,0,2,6,2
15,0,3,0,0,0,1,0,1,0,0,0,1,0,3
16,1,2,0,0,0,1,0,0,0,1,0,3,0,3
17,0,3,1,0,1,0,1,0,0,0,0,1,5,2
18,1,2,1,0,0,1,0,0,1,0,0,2,0,3
19,0,3,0,0,0,1,0,0,0,1,0,2,1,3
20,1,3,0,1,0,0,0,0,0,1,0,2,0,3
21,0,2,1,0,0,1,0,0,1,0,0,2,0,2
22,1,2,1,0,0,1,0,0,1,0,0,2,0,3
23,1,3,0,0,1,0,0,1,0,0,0,1,0,3
24,1,1,1,0,0,1,0,0,1,0,0,2,0,2
25,0,3,0,0,0,1,0,1,0,0,0,1,4,2
26,1,3,0,0,0,1,0,0,0,1,0,2,6,2
27,0,3,1,1,0,0,0,0,1,0,0,2,0,3
28,0,1,1,0,0,1,0,0,1,0,0,2,5,1
29,1,3,0,0,1,0,0,1,0,0,0,2,0,3
30,0,3,1,0,0,1,0,0,1,0,0,2,0,3
31,0,1,1,1,0,0,0,0,0,0,1,2,0,2
32,1,1,0,1,0,0,0,0,0,1,0,2,1,1
33,1,3,0,0,1,0,0,1,0,0,0,2,0,3
34,0,2,1,0,0,1,0,0,1,0,0,3,0,3
35,0,1,1,1,0,0,0,0,1,0,0,2,1,1
36,0,1,1,0,0,1,0,0,1,0,0,2,1,2
37,1,3,1,1,0,0,0,0,1,0,0,2,0,3
38,0,3,1,0,0,1,0,0,1,0,0,2,0,3
39,0,3,0,0,0,1,0,1,0,0,0,2,2,3
40,1,3,0,1,0,0,0,1,0,0,0,1,1,3
41,0,3,0,0,0,1,0,0,0,1,0,2,1,3
42,0,2,0,0,0,1,0,0,0,1,0,2,1,2
43,0,3,1,1,0,0,0,0,1,0,0,2,0,3
44,1,2,0,1,0,0,0,1,0,0,0,1,3,2
45,1,3,0,0,1,0,0,1,0,0,0,2,0,3
46,0,3,1,0,0,1,0,0,1,0,0,2,0,3
47,0,3,1,0,1,0,0,0,1,0,0,2,1,3
48,1,3,0,0,1,0,0,1,0,0,0,2,0,3
49,0,3,1,1,0,0,0,0,1,0,0,2,2,2
50,0,3,0,0,0,1,0,0,0,1,0,2,1,3
51,0,3,1,0,0,1,1,0,0,0,0,1,5,2
52,0,3,1,0,0,1,0,0,1,0,0,2,0,3
53,1,1,0,1,0,0,0,0,0,1,0,2,1,1
54,1,2,0,0,0,1,0,0,0,1,0,2,1,2
55,0,1,1,1,0,0,0,0,1,0,0,3,1,2
56,1,1,1,0,0,1,0,0,1,0,0,2,0,2
57,1,2,0,0,0,1,0,1,0,0,0,2,0,3
58,0,3,1,1,0,0,0,0,1,0,0,2,0,3
59,1,2,0,0,0,1,0,1,0,0,0,1,3,2
60,0,3,1,0,0,1,1,0,0,0,0,1,7,2
61,0,3,1,1,0,0,0,0,1,0,0,2,0,3
62,1,1,0,0,0,1,0,1,0,0,0,2,0,1
63,0,1,1,0,0,1,0,0,1,0,0,2,1,1
64,0,3,1,0,0,1,1,0,0,0,0,1,5,2
65,0,1,1,1,0,0,0,0,1,0,0,2,0,2
66,1,3,1,1,0,0,1,0,0,0,0,2,2,3
67,1,2,0,0,0,1,0,0,0,1,0,2,0,3
68,0,3,1,0,0,1,0,0,1,0,0,2,0,3
69,1,3,0,0,0,1,0,1,0,0,0,1,6,3
70,0,3,1,0,0,1,0,0,1,0,0,2,2,3
71,0,2,1,0,0,1,0,0,1,0,0,2,0,3
72,0,3,0,0,0,1,0,1,0,0,0,1,7,2
73,0,2,1,0,0,1,0,0,1,0,0,2,0,1
74,0,3,1,1,0,0,0,0,1,0,0,2,1,3
75,1,3,1,0,0,1,0,0,1,0,0,2,0,2
76,0,3,1,0,0,1,0,0,1,0,0,2,0,3
77,0,3,1,0,0,1,0,0,1,0,0,2,0,3
78,0,3,1,0,0,1,0,0,1,0,0,2,0,3
79,1,2,1,0,0,1,1,0,0,0,0,1,2,2
80,1,3,0,0,0,1,0,1,0,0,0,2,0,3
81,0,3,1,0,0,1,0,0,1,0,0,2,0,3
82,1,3,1,0,0,1,0,0,1,0,0,2,0,3
83,1,3,0,0,1,0,0,1,0,0,0,2,0,3
84,0,1,1,0,0,1,0,0,1,0,0,2,0,2
85,1,2,0,0,0,1,0,1,0,0,0,1,0,3
86,1,3,0,0,0,1,0,0,0,1,0,2,3,3
87,0,3,1,0,0,1,0,0,1,0,0,1,4,2
88,0,3,1,0,0,1,0,0,1,0,0,2,0,3
89,1,1,0,0,0,1,0,1,0,0,0,2,5,1
90,0,3,1,0,0,1,0,0,1,0,0,2,0,3
91,0,3,1,0,0,1,0,0,1,0,0,2,0,3
92,0,3,1,0,0,1,0,0,1,0,0,2,0,3
93,0,1,1,0,0,1,0,0,1,0,0,2,1,2
94,0,3,1,0,0,1,0,0,1,0,0,2,3,2
95,0,3,1,0,0,1,0,0,1,0,0,3,0,3
96,0,3,1,0,0,1,0,0,1,0,0,2,0,3
97,0,1,1,1,0,0,0,0,1,0,0,3,0,2
98,1,1,1,1,0,0,0,0,1,0,0,2,1,2
99,1,2,0,0,0,1,0,0,0,1,0,2,1,2
100,0,2,1,0,0,1,0,0,1,0,0,2,1,2
101,0,3,0,0,0,1,0,1,0,0,0,2,0,3
102,0,3,1,0,0,1,0,0,1,0,0,2,0,3
103,0,1,1,0,0,1,0,0,1,0,0,2,1,1
104,0,3,1,0,0,1,0,0,1,0,0,2,0,3
105,0,3,1,0,0,1,0,0,1,0,0,2,2,3
106,0,3,1,0,0,1,0,0,1,0,0,2,0,3
107,1,3,0,0,0,1,0,1,0,0,0,2,0,3
108,1,3,1,0,0,1,0,0,1,0,0,2,0,3
109,0,3,1,0,0,1,0,0,1,0,0,2,0,3
110,1,3,0,0,1,0,0,1,0,0,0,2,1,2
111,0,1,1,0,0,1,0,0,1,0,0,2,0,2
112,0,3,0,1,0,0,0,1,0,0,0,1,1,3
113,0,3,1,0,0,1,0,0,1,0,0,2,0,3
114,0,3,0,0,0,1,0,1,0,0,0,2,1,3
115,0,3,0,1,0,0,0,1,0,0,0,1,0,3
116,0,3,1,0,0,1,0,0,1,0,0,2,0,3
117,0,3,1,0,1,0,0,0,1,0,0,3,0,3
118,0,2,1,0,0,1,0,0,1,0,0,2,1,2
119,0,1,1,1,0,0,0,0,1,0,0,2,1,1
120,0,3,0,0,0,1,0,1,0,0,0,1,6,2
121,0,2,1,0,0,1,0,0,1,0,0,2,2,1
122,0,3,1,0,0,1,0,0,1,0,0,2,0,3
123,0,2,1,1,0,0,0,0,1,0,0,2,1,2
124,1,2,0,0,0,1,0,1,0,0,0,2,0,3
125,0,1,1,0,0,1,0,0,1,0,0,2,1,1
126,1,3,1,1,0,0,1,0,0,0,0,1,1,3
127,0,3,1,0,1,0,0,0,1,0,0,2,0,3
128,1,3,1,0,0,1,0,0,1,0,0,2,0,3
129,1,3,0,1,0,0,0,1,0,0,0,2,2,2
130,0,3,1,0,0,1,0,0,1,0,0,2,0,3
131,0,3,1,1,0,0,0,0,1,0,0,2,0,3
132,0,3,1,0,0,1,0,0,1,0,0,2,0,3
133,0,3,0,0,0,1,0,0,0,1,0,2,1,3
134,1,2,0,0,0,1,0,0,0,1,0,2,1,2
135,0,2,1,0,0,1,0,0,1,0,0,2,0,3
136,0,2,1,1,0,0,0,0,1,0,0,2,0,3
137,1,1,0,0,0,1,0,1,0,0,0,2,2,2
138,0,1,1,0,0,1,0,0,1,0,0,2,1,2
139,0,3,1,0,0,1,0,0,1,0,0,1,0,3
140,0,1,1,1,0,0,0,0,1,0,0,2,0,1
141,0,3,0,1,0,0,0,0,0,1,0,2,2,3
142,1,3,0,0,0,1,0,1,0,0,0,2,0,3
143,1,3,0,0,0,1,0,0,0,1,0,2,1,3
144,0,3,1,0,1,0,0,0,1,0,0,2,0,3
145,0,2,1,0,0,1,0,0,1,0,0,2,0,3
146,0,2,1,0,0,1,0,0,1,0,0,2,2,2
147,1,3,1,0,0,1,0,0,1,0,0,2,0,3
148,0,3,0,0,0,1,0,1,0,0,0,1,4,2
149,0,2,1,0,0,1,0,0,1,0,0,2,2,2
150,0,2,1,0,0,1,0,0,0,0,1,2,0,3
151,0,2,1,0,0,1,0,0,0,0,1,2,0,3
152,1,1,0,0,0,1,0,0,0,1,0,2,1,2
153,0,3,1,0,0,1,0,0,1,0,0,3,0,3
154,0,3,1,0,0,1,0,0,1,0,0,2,2,3
155,0,3,1,0,0,1,0,0,1,0,0,2,0,3
156,0,1,1,1,0,0,0,0,1,0,0,2,1,2
157,1,3,0,0,1,0,0,1,0,0,0,1,0,3
158,0,3,1,0,0,1,0,0,1,0,0,2,0,3
159,0,3,1,0,0,1,0,0,1,0,0,2,0,3
160,0,3,1,0,0,1,1,0,0,0,0,2,10,2
